2021-05-20 09:04:03,961 | INFO | Video length: 10.0
2021-05-20 09:04:03,962 | INFO | Background track length: 0
2021-05-20 09:04:03,962 | DEBUG | get Video Filter Chains
2021-05-20 09:04:03,962 | DEBUG | get Audio Filter Chains
2021-05-20 09:04:03,962 | DEBUG | no background music
2021-05-20 09:04:03,962 | DEBUG | no audio track
2021-05-20 09:04:03,977 | INFO | Number of Frames: 600
2021-05-20 09:04:03,978 | INFO | FFMPEG started
2021-05-20 09:04:03,978 | DEBUG | ffmpeg -hide_banner -stats  -i "/home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg"  -i "/home/anishmohan/Documents/Workspace/kburns-slideshow/data/2.jpg"  -i "/home/anishmohan/Documents/Workspace/kburns-slideshow/data/3.jpg"    -filter_complex_script "temp-kburns-video-script.txt" -t 10.0 -map [out]:v -c:v libx264 -preset ultrafast -tune stillimage      "out.mp4"
2021-05-20 09:05:52,371 | INFO | FFMPEG finished
2021-05-20 09:08:44,847 | DEBUG | Init CLI
2021-05-20 09:08:44,933 | DEBUG | Load from file: f.json
2021-05-20 09:13:15,255 | DEBUG | Init CLI
2021-05-20 09:13:15,263 | DEBUG | Load from file: f.json
2021-05-20 09:13:28,609 | DEBUG | Init CLI
2021-05-20 09:13:28,617 | DEBUG | Load from file: f.json
2021-05-20 09:16:32,413 | DEBUG | Init CLI
2021-05-20 09:16:32,421 | DEBUG | Load Files from command line: ['/home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg', '/home/anishmohan/Documents/Workspace/kburns-slideshow/data/2.jpg', '/home/anishmohan/Documents/Workspace/kburns-slideshow/data/3.jpg']
2021-05-20 09:16:32,421 | DEBUG | Save config: None
2021-05-20 09:16:33,169 | DEBUG | Init SlideManager
2021-05-20 09:16:33,169 | DEBUG | Slide: /home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg
2021-05-20 09:16:33,170 | DEBUG | is a file >>>>> /home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg
2021-05-20 09:16:33,305 | DEBUG | added valid video/image file
2021-05-20 09:16:33,305 | DEBUG | Slide: /home/anishmohan/Documents/Workspace/kburns-slideshow/data/2.jpg
2021-05-20 09:16:33,306 | DEBUG | is a file >>>>> /home/anishmohan/Documents/Workspace/kburns-slideshow/data/2.jpg
2021-05-20 09:16:33,332 | DEBUG | added valid video/image file
2021-05-20 09:16:33,332 | DEBUG | Slide: /home/anishmohan/Documents/Workspace/kburns-slideshow/data/3.jpg
2021-05-20 09:16:33,332 | DEBUG | is a file >>>>> /home/anishmohan/Documents/Workspace/kburns-slideshow/data/3.jpg
2021-05-20 09:16:33,346 | DEBUG | added valid video/image file
2021-05-20 09:16:33,346 | INFO | Create video out.mp4
2021-05-20 09:16:33,367 | INFO | Video length: 10.0
2021-05-20 09:16:33,368 | INFO | Background track length: 0
2021-05-20 09:16:33,368 | DEBUG | get Video Filter Chains
2021-05-20 09:16:33,368 | DEBUG | get Audio Filter Chains
2021-05-20 09:16:33,368 | DEBUG | no background music
2021-05-20 09:16:33,368 | DEBUG | no audio track
2021-05-20 09:16:33,369 | INFO | Number of Frames: 600
2021-05-20 09:16:33,369 | INFO | FFMPEG started
2021-05-20 09:16:33,370 | DEBUG | ffmpeg -hide_banner -stats  -i "/home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg"  -i "/home/anishmohan/Documents/Workspace/kburns-slideshow/data/2.jpg"  -i "/home/anishmohan/Documents/Workspace/kburns-slideshow/data/3.jpg"    -filter_complex_script "temp-kburns-video-script.txt" -t 10.0 -map [out]:v -c:v libx264 -preset ultrafast -tune stillimage      "out.mp4"
2021-05-20 09:17:03,632 | DEBUG | Init CLI
2021-05-20 09:17:03,640 | DEBUG | Load Files from command line: ['/home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg', '/home/anishmohan/Documents/Workspace/kburns-slideshow/data/2.jpg', '/home/anishmohan/Documents/Workspace/kburns-slideshow/data/3.jpg']
2021-05-20 09:17:03,641 | DEBUG | Save config: None
2021-05-20 09:17:03,741 | DEBUG | Init SlideManager
2021-05-20 09:17:03,742 | DEBUG | Slide: /home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg
2021-05-20 09:17:03,742 | DEBUG | is a file >>>>> /home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg
2021-05-20 09:17:03,755 | DEBUG | added valid video/image file
2021-05-20 09:17:03,755 | DEBUG | Slide: /home/anishmohan/Documents/Workspace/kburns-slideshow/data/2.jpg
2021-05-20 09:17:03,756 | DEBUG | is a file >>>>> /home/anishmohan/Documents/Workspace/kburns-slideshow/data/2.jpg
2021-05-20 09:17:03,756 | DEBUG | added valid video/image file
2021-05-20 09:17:03,756 | DEBUG | Slide: /home/anishmohan/Documents/Workspace/kburns-slideshow/data/3.jpg
2021-05-20 09:17:03,756 | DEBUG | is a file >>>>> /home/anishmohan/Documents/Workspace/kburns-slideshow/data/3.jpg
2021-05-20 09:17:03,757 | DEBUG | added valid video/image file
2021-05-20 09:17:03,757 | INFO | Create video out.mp4
2021-05-20 09:17:03,758 | INFO | Video length: 10.0
2021-05-20 09:17:03,758 | INFO | Background track length: 0
2021-05-20 09:17:03,758 | DEBUG | get Video Filter Chains
2021-05-20 09:17:03,759 | DEBUG | get Audio Filter Chains
2021-05-20 09:17:03,759 | DEBUG | no background music
2021-05-20 09:17:03,759 | DEBUG | no audio track
2021-05-20 09:17:03,759 | INFO | Number of Frames: 600
2021-05-20 09:17:03,759 | INFO | FFMPEG started
2021-05-20 09:17:03,760 | DEBUG | ffmpeg -hide_banner -stats  -i "/home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg"  -i "/home/anishmohan/Documents/Workspace/kburns-slideshow/data/2.jpg"  -i "/home/anishmohan/Documents/Workspace/kburns-slideshow/data/3.jpg"    -filter_complex_script "temp-kburns-video-script.txt" -t 10.0 -map [out]:v -c:v libx264 -preset ultrafast -tune stillimage      "out.mp4"
2021-05-20 09:18:56,715 | INFO | FFMPEG finished
2021-05-20 09:22:37,669 | DEBUG | Init CLI
2021-05-20 09:22:37,776 | DEBUG | Load from file: f.json
2021-05-20 09:23:17,273 | DEBUG | Init CLI
2021-05-20 09:23:17,281 | DEBUG | Load from file: f.json
2021-05-20 10:21:30,074 | DEBUG | Init CLI
2021-05-20 10:21:30,082 | DEBUG | Load from file: f.json
2021-05-20 10:39:52,380 | DEBUG | Init CLI
2021-05-20 10:39:52,388 | DEBUG | Load from file: f1.json
2021-05-20 10:48:25,751 | DEBUG | Init CLI
2021-05-20 10:48:25,759 | DEBUG | Load from file: f1.json
2021-05-20 10:49:05,638 | DEBUG | Init CLI
2021-05-20 10:49:05,646 | DEBUG | Load from file: f1.json
2021-05-20 10:53:25,544 | DEBUG | Init CLI
2021-05-20 10:53:25,553 | DEBUG | Load from file: f1.json
2021-05-20 11:08:41,535 | DEBUG | Init CLI
2021-05-20 11:08:41,543 | DEBUG | Load from file: f1.json
2021-05-20 11:17:26,630 | DEBUG | Init CLI
2021-05-20 11:17:26,638 | DEBUG | Load from file: f1.json
2021-05-20 11:30:52,297 | DEBUG | Init CLI
2021-05-20 11:30:52,305 | DEBUG | Load from file: f1.json
2021-05-20 11:40:03,209 | DEBUG | Init CLI
2021-05-20 11:40:03,217 | DEBUG | Load from file: f1.json
2021-05-20 11:42:26,871 | DEBUG | Init CLI
2021-05-20 11:42:26,879 | DEBUG | Load from file: f1.json
2021-05-20 11:50:24,894 | DEBUG | Init CLI
2021-05-20 11:50:24,902 | DEBUG | Load from file: f1.json
2021-05-20 11:51:41,677 | DEBUG | Init CLI
2021-05-20 11:51:41,685 | DEBUG | Load from file: f1.json
2021-05-20 11:51:41,686 | DEBUG | get slides
2021-05-20 11:51:41,686 | DEBUG | Save config: None
2021-05-20 11:51:42,378 | DEBUG | Init SlideManager
2021-05-20 11:51:42,378 | DEBUG | Slide: file
2021-05-20 11:51:42,379 | DEBUG | is a file >>>>> file
2021-05-20 11:51:42,379 | DEBUG | Slide: slide_duration
2021-05-20 11:51:42,379 | DEBUG | is a file >>>>> slide_duration
2021-05-20 11:51:42,380 | DEBUG | Slide: slide_duration_min
2021-05-20 11:51:42,380 | DEBUG | is a file >>>>> slide_duration_min
2021-05-20 11:51:42,380 | DEBUG | Slide: fade_duration
2021-05-20 11:51:42,380 | DEBUG | is a file >>>>> fade_duration
2021-05-20 11:51:42,381 | DEBUG | Slide: zoom_direction
2021-05-20 11:51:42,381 | DEBUG | is a file >>>>> zoom_direction
2021-05-20 11:51:42,381 | DEBUG | Slide: zoom_rate
2021-05-20 11:51:42,381 | DEBUG | is a file >>>>> zoom_rate
2021-05-20 11:51:42,382 | DEBUG | Slide: scale_mode
2021-05-20 11:51:42,382 | DEBUG | is a file >>>>> scale_mode
2021-05-20 11:51:42,382 | DEBUG | Slide: transition
2021-05-20 11:51:42,382 | DEBUG | is a file >>>>> transition
2021-05-20 11:51:42,383 | INFO | Create video out.mp4
2021-05-20 11:51:42,383 | INFO | Video length: 0.0
2021-05-20 11:51:42,383 | INFO | Background track length: 0
2021-05-20 11:51:42,383 | DEBUG | get Video Filter Chains
2021-05-20 11:51:42,383 | DEBUG | get Audio Filter Chains
2021-05-20 11:51:42,383 | DEBUG | no background music
2021-05-20 11:51:42,383 | DEBUG | no audio track
2021-05-20 11:51:42,384 | INFO | Number of Frames: 0
2021-05-20 11:51:42,384 | INFO | FFMPEG started
2021-05-20 11:51:42,384 | DEBUG | ffmpeg -hide_banner -stats     -filter_complex_script "temp-kburns-video-script.txt" -t 0.0 -map [out]:v -c:v libx264 -preset ultrafast -tune stillimage      "out.mp4"
2021-05-20 11:51:42,645 | INFO | FFMPEG finished
2021-05-20 11:52:21,716 | DEBUG | Init CLI
2021-05-20 11:52:21,724 | DEBUG | Load from file: f1.json
2021-05-20 11:52:21,725 | DEBUG | get slides
2021-05-20 11:52:21,725 | DEBUG | Save config: None
2021-05-20 11:52:21,846 | DEBUG | Init SlideManager
2021-05-20 11:52:21,847 | DEBUG | Slide: {'file': '/home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg', 'slide_duration': 5.0, 'slide_duration_min': 1.0, 'fade_duration': 2, 'zoom_direction': 'top-left-out', 'zoom_rate': 0.2, 'scale_mode': 'crop_center', 'transition': 'fade'}
2021-05-20 11:52:21,847 | DEBUG | is a dict>>>>>: {'file': '/home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg', 'slide_duration': 5.0, 'slide_duration_min': 1.0, 'fade_duration': 2, 'zoom_direction': 'top-left-out', 'zoom_rate': 0.2, 'scale_mode': 'crop_center', 'transition': 'fade'}
2021-05-20 11:52:21,847 | DEBUG | is a file >>>>> {'file': '/home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg', 'slide_duration': 5.0, 'slide_duration_min': 1.0, 'fade_duration': 2, 'zoom_direction': 'top-left-out', 'zoom_rate': 0.2, 'scale_mode': 'crop_center', 'transition': 'fade'}
2021-05-20 11:52:22,027 | DEBUG | added valid video/image file
2021-05-20 11:52:22,028 | INFO | Create video out.mp4
2021-05-20 11:52:22,028 | INFO | Video length: 5.0
2021-05-20 11:52:22,028 | INFO | Background track length: 0
2021-05-20 11:52:22,028 | DEBUG | get Video Filter Chains
2021-05-20 11:52:22,028 | DEBUG | get Audio Filter Chains
2021-05-20 11:52:22,028 | DEBUG | no background music
2021-05-20 11:52:22,028 | DEBUG | no audio track
2021-05-20 11:52:22,029 | INFO | Number of Frames: 300
2021-05-20 11:52:22,029 | INFO | FFMPEG started
2021-05-20 11:52:22,029 | DEBUG | ffmpeg -hide_banner -stats  -i "/home/anishmohan/Documents/Workspace/kburns-slideshow/data/1.jpg"    -filter_complex_script "temp-kburns-video-script.txt" -t 5.0 -map [out]:v -c:v libx264 -preset ultrafast -tune stillimage      "out.mp4"
2021-05-20 11:52:44,932 | INFO | FFMPEG finished
2021-05-20 11:55:18,637 | DEBUG | Init CLI
2021-05-20 11:55:18,645 | DEBUG | Load from file: f1.json
2021-05-20 11:55:18,646 | DEBUG | get slides
2021-05-20 11:55:18,646 | DEBUG | Save config: None
